ชื่อ - สกุล,ปี จัดแข่งขัน,รายการ,ประเภท,ตำแหน่ง,สังกัด
สราวุธ สังขรัตน์,2565,King Cup 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2565,M Electrolyte Club Table Tennis Championships 2021,ประเภททีมเยาวชนชายอายุไม่เกิน   13 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสโรงเรียนลาซาลกรุงเทพ A
สราวุธ สังขรัตน์,2565,M Electrolyte Table Tennis Club Championships 2022,ประเภททีมเยาวชนชายอายุไม่เกิน  13 ปี,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล A
สราวุธ สังขรัตน์,2565,All Thailand 2022 Circuit 1,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2565,All Thailand 2022 Circuit 2,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2565,All Thailand 2022 Circuit 3,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2565,Chonburi PAO Table Tennis Open 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 13 ปี ,ชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สราวุธ สังขรัตน์,2565,Chonburi PAO Table Tennis Open 2022,ประเภทเยาวชนชายเดี่ยวอายุไม่เกิน 15 ปี ,ตำแหน่งที่ 3,สโมสรกีฬาเซ็นทรัล
สรินทิพย์ กัญญาทิพย์,2568,CHIANG RAI OPEN 2025,ประเภทหญิงเดี่ยวทั่วไป,ตำแหน่งที่ 3,CMU
สรินทิพย์ กัญญาทิพย์,2568,CHIANG RAI OPEN 2025,ประเภทหญิงคู่,ตำแหน่งที่ 3,CMU
สรินทิพย์ กัญญาทิพย์,2566,SET Table Tennis Club Championships 2023,ประเภททีมเยาวชนหญิงอายุไม่เกิน 19 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ A
สรินยา แซ่ก๊วย,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสหญิงอายุ 50 – 59 ปี,ชนะเลิศ,สโมสรเทเบิลเทนนิสตำรวจ W501
สรินยา แซ่ก๊วย,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทหญิงคู่อายุ 40 ปีขึ้นไป,ตำแหน่งที่ 3,ปิงปองอาวุโสตำรวจ
สรินยา แซ่ก๊วย,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมหญิงอายุ 50 – 59 ปี,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ W503
สรินยา แซ่ก๊วย,2566,Master Table Tennis Club Championships 2023,ประเภททีมหญิงอายุ 50 – 59 ปี,ตำแหน่งที่ 3,จังหวัดสมุทรสงคราม
สรินยา แซ่ก๊วย,2566,Master Table Tennis 2023 Circuit 3,ประเภทหญิงเดี่ยวอายุ 40 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สรินยา แซ่ก๊วย,2566,Master Table Tennis 2023 Circuit 3,ประเภทหญิงเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,สโมสรกีฬาเซ็นทรัล
สันติ ธนพัฒน์พิศาล,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 70 ปีขึ้นไป,ตำแหน่งที่ 3,สโมสรเทเบิลเทนนิสตำรวจ M702
สันติชัย เหมือนแขยด,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 40 – 49 ปี,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM 401
สันติสุข บุสบงค์,2568,SET Table Tennis Club Championships 2025,ประเภททีมอาวุโสชายอายุ 50 – 59 ปี,ชนะเลิศ,NEWWAY A
สันติสุข บุสบงค์,2568,"Masters , Hopes & Kids 2025 Circuit 1",ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,กองทัพอากาศ
สันติสุข บุสบงค์,2568,"Masters , Hopes & Kids 2025 Circuit 2",ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2568,"Masters , Hopes & Kids 2025 Circuit 3",ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายคู่อายุ 50 ปีขึ้นไป,ชนะเลิศ,ID GYM
สันติสุข บุสบงค์,2568,NCN THAMMASAT TABLE TENNIS OPEN 2025,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,รองชนะเลิศ,ID GYM
สันติสุข บุสบงค์,2568,SPRC SUPER CUP 2025,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2567,King Cup 2024,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2567,M – Sport Master Table Tennis Club Championships 2024,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,ราชนาวี B
สันติสุข บุสบงค์,2567,Master Table Tennis 2024 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2567,Master Table Tennis 2024 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2567,Master Table Tennis 2024 Circuit 3,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2567,BUTTERFLY & SISB OPEN 2024,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,ตำแหน่งที่ 3,NCN TABEL TENNIS TEAM
สันติสุข บุสบงค์,2567,SPRC - CALTEX SUPER CUP 2024,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,รองชนะเลิศ,ID GYM
สันติสุข บุสบงค์,2566,King Cup 2023,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,กองทัพอากาศ
สันติสุข บุสบงค์,2566,Master Table Tennis Club Championships 2023,ประเภททีมชายอายุ 50 – 59 ปี,ชนะเลิศ,กองทัพบก
สันติสุข บุสบงค์,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ตำแหน่งที่ 3,กองทัพอากาศ
สันติสุข บุสบงค์,2566,Master Table Tennis 2023 Circuit 1,ประเภทชายเดี่ยวอายุ 40 ปี ขึ้นไป,ตำแหน่งที่ 3,กองทัพอากาศ
สันติสุข บุสบงค์,2566,Master Table Tennis 2023 Circuit 2,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2566,Master Table Tennis 2023 Circuit 3,ประเภทชายเดี่ยวอายุ 50 ปี ขึ้นไป,ชนะเลิศ,กองทัพอากาศ
สันติสุข บุสบงค์,2566,BUTTERFLY & SISB OPEN 2023,ประเภทชายเดี่ยวอายุ 50 ปีขึ้นไป,รองชนะเลิศ,NCN TABEL TENNIS TEAM
